Date	Confirmed	Deaths	Recovered
03-10-2020	144	2	2
03-11-2020	177	3	2
03-12-2020	221	4	6
03-13-2020	282	4	6
03-14-2020	340	5	6
03-15-2020	426	6	6
03-16-2020	557	7	6
03-17-2020	698	12	6
03-18-2020	751	13	0
03-19-2020	952	18	0
03-20-2020	1177	23	0
03-21-2020	1364	24	0
03-22-2020	407	5	0
03-22-2020	263	8	0
03-22-2020	155	0	0
03-22-2020	117	1	0
03-22-2020	108	0	0
03-22-2020	95	0	0
03-22-2020	71	0	0
03-22-2020	61	1	0
03-22-2020	53	3	0
03-22-2020	38	0	0
03-22-2020	31	2	0
03-22-2020	29	6	0
03-22-2020	27	0	0
03-22-2020	25	0	0
03-22-2020	22	1	0
03-22-2020	17	0	0
03-22-2020	15	0	0
03-22-2020	13	0	0
03-22-2020	13	0	0
03-22-2020	12	1	0
03-22-2020	12	0	0
03-22-2020	11	1	0
03-22-2020	6	0	0
03-22-2020	6	0	0
03-22-2020	6	0	0
03-22-2020	5	1	0
03-22-2020	5	0	0
03-22-2020	5	0	0
03-22-2020	3	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-23-2020	118	1	0
03-23-2020	0	0	0
03-23-2020	1	0	0
03-23-2020	2	0	0
03-23-2020	2	0	0
03-23-2020	0	0	0
03-23-2020	71	1	0
03-23-2020	0	0	0
03-23-2020	2	0	0
03-23-2020	6	0	0
03-23-2020	0	0	0
03-23-2020	2	0	0
03-23-2020	6	0	0
03-23-2020	0	0	0
03-23-2020	12	0	0
03-23-2020	0	0	0
03-23-2020	0	0	0
03-23-2020	0	0	0
03-23-2020	536	7	0
03-23-2020	3	0	0
03-23-2020	38	0	0
03-23-2020	0	0	0
03-23-2020	1	0	0
03-23-2020	1	0	0
03-23-2020	0	0	0
03-23-2020	1	0	0
03-23-2020	14	1	0
03-23-2020	2	0	0
03-23-2020	2	0	0
03-23-2020	125	0	0
03-23-2020	12	1	0
03-23-2020	0	0	0
03-23-2020	46	6	0
03-23-2020	88	4	0
03-23-2020	6	1	0
03-23-2020	17	0	0
03-23-2020	201	1	0
03-23-2020	131	0	0
03-23-2020	41	2	0
03-23-2020	27	0	0
03-23-2020	142	1	0
03-23-2020	18	0	0
03-23-2020	302	10	0
03-23-2020	22	0	0
03-23-2020	2	0	0
03-23-2020	0	0	0
03-23-2020	2	0	0
03-23-2020	14	0	0
03-23-2020	29	1	0
03-23-2020	8	0	0
03-23-2020	0	0	0
03-23-2020	0	0	0
03-23-2020	0	0	0
03-23-2020	16	0	0
03-23-2020	0	0	0
03-23-2020	30	1	0
